10/1/2014 21:47:33 -- PID=6740 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-03-08.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-03-08.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 21:47:33 -- PID=6740 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\maximum_rtt-100-by-node-2014-03-08.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\maximum_rtt-100-by-node-2014-03-08.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 21:47:33 -- PID=6740 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_packet_loss-100-by-node-2014-03-08.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_packet_loss-100-by-node-2014-03-08.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 21:47:33 -- PID=6740 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\out_of_order_packets-100-by-node-2014-03-08.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\out_of_order_packets-100-by-node-2014-03-08.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 21:47:33 -- PID=6740 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\unpredictability-100-by-node-2014-03-08.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\unpredictability-100-by-node-2014-03-08.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:18:13 -- PID=5252 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\throughput-100-by-node-2014-09-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\throughput-100-by-node-2014-09-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:18:13 -- PID=5252 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\packet_loss-100-by-node-2014-09-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\packet_loss-100-by-node-2014-09-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:18:13 -- PID=5252 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\average_rtt-100-by-node-2014-09-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\average_rtt-100-by-node-2014-09-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:18:13 -- PID=5252 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-09-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-09-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:18:13 -- PID=5252 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-09-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-09-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
