642,pinger.lhr.nu.edu.pk,111.68.102.125,31.481042,74.303356,PK.NU.EDU.N2,FAST, B-Block, Faisal Town,lhr.nu.edu.pk,M
653,pingerqta.pern.edu.pk,121.52.157.157,30.269561,66.939694,PK.PINGERQTA.PERN.EDU.N2,HEC  Quetta Regional Centre,pern.edu.pk,M
654,pinger.lcwu.edu.pk,111.68.103.135,31.544775,74.328958,PK.LCWU.EDU.N2,Lahore College of Women University,lcwu.edu.pk,M
660,pinger.kohat.edu.pk,121.52.146.180,33.521825,71.446622,PK.KOHAT.EDU.N2,KUST, Kohat,kohat.edu.pk,M
665,pinger.usindh.edu.pk,121.52.154.50,25.418178,68.262133,PK.USINDH.EDU.N2,University of Sindh, Jamshoro,usindh.edu.pk,M
667,pinger.cdac.in,196.1.113.251,18.5204,73.8567,IN.PUNE.CDAC.N2,NetOps, SANG-C-DAC, HQ-Pune,cdac.in,M
670,aup.seecs.edu.pk,121.52.146.67,34.0207,71.4830,PK.AUP.SEECS.EDU,Agriculture University Peshawar,aup.edu.pk,M
673,pinger.isra.edu.pk,121.52.155.245,25.43475,68.380333,PK.ISRA.EDU.N2,ISRA Hyderabad,isra.edu.pk,M
681,pingerjms.pern.edu.pk,121.52.154.11,25.4178,68.2627,PK.PERNSINDHUPOP.EDU.N2,Sindh University, Jamshoro,pern.edu.pk,M
686,pingerpwr.pern.edu.pk,121.52.150.242,33.991158,71.442767,PK.PERNPWRPOP.EDU.N2,HEC, RC Peshawar,pern.edu.pk,M
689,nukhimain.seecs.edu.pk,111.68.108.109,24.856898,67.264848,PK.NUKHIMAIN.SEECS.EDU,NU-FAST Karachi,seecs.edu.pk,M
690,pingerisl-qau.pern.edu.pk,111.68.106.246,33.746176,73.135705,PK.PINGERISL-QAU.PERN.EDU,PERN PoP, Quaid-e-Azam university,pern.edu.pk,M
691,pingerkhi-uok.pern.edu.pk,111.68.107.242,24.9400231,67.12093,PK.PINGERKHI-UOK.PERN.EDU,University of Karachi,pern.edu.pk,M
698,sau.seecs.edu.pk,121.52.155.69,25.4333,68.5573,PK.SAU.SEECS.EDU,Sindh Agriculture University,seecs.edu.pk,M
699,pingerisl-fjwu.pern.edu.pk,111.68.106.250,33.585848,73.064719,PK.PINGERISL-FJWU.PERN.EDU,PERN PoP, Fatima Jinnah Women University,pern.edu.pk,M
722,pinger.iba-suk.edu.pk,121.52.155.76,27.726253,68.819397,PK.PINGER.IBA-SUK.EDU,IBA Sukkur,iba.edu.pk,M
723,pingerlhr-gcu.pern.edu.pk,111.68.102.210,31.5747,74.3076,PK.PINGERLHR-GCU.PERN.EDU,Government College University,pern.edu.pk,M
741,airuniversity.seecs.edu.pk,111.68.96.101,33.713275,73.023525,PK.AIRUNIVERSITY.EDU.N2,Air University,airuniversity.edu.pk,M
744,pinger.numl.edu.pk,111.68.97.109,33.667246,73.050663,PK.NUML.EDU,NUML University Islamabad,numl.edu.pk,M
745,quest.seecs.edu.pk,121.52.155.122,26.235942,68.390089,PK.QUEST.SEECS.EDU,Quaid-e-Awam University of Engineering, Science and Technology,seecs.edu.pk,M
755,maggie1.seecs.edu.pk,115.186.131.81,33.642886,72.990525,PK.SEECS.EDU.N6,School of Electrical Engineering and Computer Sciences, NUST,seecs.edu.pk,M
757,ultralog.ampath.net,198.32.252.3,25.77,-80.90,NET.AMPATH.N2,Florida International University,ampath.net,M
761,pingerlhr.pern.edu.pk,111.68.105.106,31.510717,74.352967,PK.PERNLHRPOP.EDU.N1,PERN POP LAHORE,pern.edu.pk,M
762,kinnaird.seecs.edu.pk,111.68.105.183,31.537206,74.340678,PK.KINNAIRD.SEECS.EDU,Kinnaird College for Women Lahore,kinnaird.seecs.edu.pk,M
763,nuisb.seecs.edu.pk,111.68.96.89,33.655387,73.015437,PK.NUISB.SEECS.EDU,FAST-NU Islamabad,seecs.edu.pk,M
764,pingerkhi-cpsp.pern.edu.pk,111.68.107.246,24.8376048,67.0588744,PK.PINGERKHI-CPSP.PERN.EDU,College of Physician and Surgeon,pern.edu.pk,M
772,maggie2.seecs.edu.pk,115.186.131.82,33.642886,72.990525,PK.SEECS.EDU.N7,School of Electrical Engineering and Computer Sciences, NUST,seecs.edu.pk,M
779,pingerkhi.pern.edu.pk,111.68.108.11,24.8881778,67.065914,PK.PERNKHIPOP.EDU.N2,PoP PERN, HEC Regional Office, Karachi,pern.edu.pk,M
780,pingermtn.pern.edu.pk,121.52.158.210,30.269726,71.506455,PK.PERNMTNPOP.EDU.N2,PERN2 BZU Multan PoP,pern.edu.pk,MB
781,pinger.giki.edu.pk,121.52.146.230,34.06904,72.64333,PK.GIKI.EDU.N1,Ghulam Ishaq Khan Institute,giki.edu.pk,M
782,pinger.vu.edu.pk,111.68.103.35,31.40080883,74.21349138,PK.VU.EDU,Virtual University,vu.edu.pk,M
798,pinger.sesame.org.jo,80.90.171.80,32.1146,35.7144,JO.SESAME.ORG.N1,SESAME - Synchrotron-light for Experimental Science and Applications in the Middle East,sesame.org.jo,MB
800,buitms.seecs.edu.pk,121.52.157.190,30.214317,66.993094,PK.BUITMS.SEECS.EDU,Balochistan University of Information Technology, Engineering and Management Sciences,seecs.edu.pk,M
801,pingerfsbd.pern.edu.pk,121.52.153.242,31.4338079,73.0689096,PK.PERNFSBDPOP.EDU.N1,PERN2 POP FAISALABAD,pern.edu.pk,M
802,cae.seecs.edu.pk,121.52.147.136,34.0625,71.987778,PK.CAE.SEECS.EDU,NUST-CAE PAF Academy Risalpur .,seecs.edu.pk,M
823,ns3.pieas.edu.pk,111.68.99.196,33.6559,73.2657,PK.PIEAS.EDU.N2,PIEAS University Nilore,pieas.edu.pk,M
