43,icsun1.ic.ornl.gov,128.219.64.47,36.010,-84.250,GOV.ORNL.N4,Oak Ridge National Laboratory,ornl.gov,Z
44,cmu.edu,128.2.10.162,40.44,-80.00,EDU.CMU.N1,Carnegie Mellon University,cmu.edu,Z
45,moe.rice.edu,128.42.205.44,29.834,-95.000,EDU.RICE.N1,Rice University,rice.edu,NOT-SET
46,yale.edu,128.36.0.1,42.36,-71.06,EDU.YALE.N2,Yale University,yale.edu,ZN
47,osfserver.le.infn.it,192.84.152.11,41.883,12.500,INFN-LE,National Institute of Nulear Physics,le.infn.it,Z
48,wisc.edu,144.92.9.144,43.07,-89.40,EDU.WISC.N3,University of Wisconsin,wisc.edu,Z
49,nyu.edu,128.122.253.92,40.849,-73.867,NYU,New York University,nyu.edu,Z
50,www.cisco.com,198.133.219.25,37.335,-121.867,CISCO,Cisco Systems,cisco.com,Z
51,ippm.utah.edu,155.99.55.11,40.542,-111.883,EDU.UTAH.N1,University of Utah,utah.edu,Z
52,scipp.ucsc.edu,128.114.130.20,36.97,-122.03,EDU.UCSC.N1,University of California - Santa Cruz,ucsc.edu,NOT-SET
53,heptel.rl.ac.uk,193.63.181.6,51.75,-1.25,UK.RL.AC.N5,Rutherford Appleton Laboratory,rl.ac.uk,Z
54,dns.edu.cn,202.112.0.35,39.917,116.417,CN.EDU.N1,China Education and Research Network,edu.cn,NOT-SET
55,mvxrm1.roma1.infn.it,141.108.5.3,41.88,12.50,INFN-ROMA,INFN Rome,roma1.infn.it,ZN
56,www.nersc.gov,128.55.6.34,37.873,-122.267,GOV.NERSC.N2,National Energy Research Scientific Computing Center,nersc.gov,Z
57,www.er.doe.gov,205.254.141.139,38.90,-77.04,GOV.DOE.N3,Office of Science U.S. Department of Energy,doe.gov,Z
58,www.data.com,12.130.5.36,40.270,-74.517,DATA-COM,NetworkMagazine.com,data.com,ZN
59,hep1.c.u-tokyo.ac.jp,157.82.60.173,35.700,139.767,JP.U-TOKYO.AC.N2,University of Tokyo,u-tokyo.ac.jp,NOT-SET
60,avaxfi.fi.infn.it,192.84.145.14,41.883,12.500,INFN-FI,National Institue of Nuclear Physics,fi.infn.it,ZN
61,rockvax.rockefeller.edu,129.85.1.21,40.849,-73.867,ROCKEFELLER,Rockefeller University,rockefeller.edu,Z
62,vaxmi.mi.infn.it,192.84.138.1,41.883,12.500,INFN-MI,INFN Milano,mi.infn.it,ZNN
63,ns1.es.net,198.128.2.10,37.873,-122.267,NET.ES.N1,Energy Sciences Network,es.net,NOT-SET
64,pa.cache.nlanr.net,192.172.226.121,32.88,-117.24,NET.NLANR.N3,National Laboratory for Applied Network Research,nlanr.net,NOT-SET
65,www.fys.uio.no,129.240.84.18,59.933,10.750,NO.UIO.N1,University of Oslo,uio.no,ZN
66,www.in2p3.fr,134.158.69.48,48.867,2.333,FR.IN2P3.N9,IN2P3,in2p3.fr,NOT-SET
67,140.109.246.1,140.109.246.1,25.02,121.45,TW.ASCC.NET.N2,Academia Sinica Computing Centre,ascc.net,ZN
68,140.109.32.1,140.109.32.1,25.02,121.45,TW.ASCC.NET.N3,Academia Sinica Computing Centre,ascc.net,ZN
