#ID,Year,Month,TimeStamp,Label
156,2010,12,2010-12,Dec2010
157,2011,01,2011-01,Jan2011
158,2011,02,2011-02,Feb2011
159,2011,03,2011-03,Mar2011
160,2011,04,2011-04,Apr2011
161,2011,05,2011-05,May2011
162,2011,06,2011-06,Jun2011
163,2011,07,2011-07,Jul2011
164,2011,08,2011-08,Aug2011
165,2011,09,2011-09,Sep2011
166,2011,10,2011-10,Oct2011
167,2011,11,2011-11,Nov2011
168,2011,12,2011-12,Dec2011
169,2012,01,2012-01,Jan2012
170,2012,02,2012-02,Feb2012
171,2012,03,2012-03,Mar2012
172,2012,04,2012-04,Apr2012
173,2012,05,2012-05,May2012
174,2012,06,2012-06,Jun2012
175,2012,07,2012-07,Jul2012
176,2012,08,2012-08,Aug2012
177,2012,09,2012-09,Sep2012
178,2012,10,2012-10,Oct2012
179,2012,11,2012-11,Nov2012
180,2012,12,2012-12,Dec2012
181,2013,01,2013-01,Jan2013
182,2013,02,2013-02,Feb2013
183,2013,03,2013-03,Mar2013
184,2013,04,2013-04,Apr2013
185,2013,05,2013-05,May2013
186,2013,06,2013-06,Jun2013
187,2013,07,2013-07,Jul2013
188,2013,08,2013-08,Aug2013
189,2013,09,2013-09,Sep2013
190,2013,10,2013-10,Oct2013
191,2013,11,2013-11,Nov2013
192,2013,12,2013-12,Dec2013
193,2014,01,2014-01,Jan2014
194,2014,02,2014-02,Feb2014
195,2014,03,2014-03,Mar2014
196,2014,04,2014-04,Apr2014
197,2014,05,2014-05,May2014
198,2014,06,2014-06,Jun2014
199,2014,07,2014-07,Jul2014
200,2014,08,2014-08,Aug2014
201,2014,09,2014-09,Sep2014
202,2014,10,2014-10,Oct2014
203,2014,11,2014-11,Nov2014
204,2014,12,2014-12,Dec2014
205,2015,01,2015-01,Jan2015

